Date,Cum_Faults
19860424,1
19860514,3
19860530,4
19860606,5
19860715,6
19860905,11
19860915,16
19860916,17
19860922,18
19860930,20
19861014,24
19861016,32
19861023,35
19861103,38
19861117,39
19861119,42
19861120,43
19861126,44
19861201,45
19861204,47
19861209,50
19861210,51
19861215,56
19861218,58
19861231,59
19870102,60
19870105,64
19870107,65
19870108,66
19870112,70
19870114,71
19870121,72
19870203,74
19870206,75
19870211,76
19870217,77
19870224,78
19870303,79
19870309,80
19870312,82
19870317,84
19870324,85
19870327,86
19870407,88
19870408,90
19870409,91
19870413,93
19870420,94
19870429,95
19870430,96
19870503,98
19870505,100
19870527,101
19870604,102
19870612,103
19870615,104
19870616,105
19870617,106
19870618,107
19870619,108
19870622,110
19870624,111
19870625,114
19870629,116
19870702,117
19870706,119
19870707,122
19870713,123
19870715,126
19870718,127
19870722,128
19870728,130
19870730,131
19870801,132
19870804,133
19870805,134
19870806,136
19870807,138
19870810,139
19870821,140
19870828,141
19870831,142
19870902,144
19870908,145
19870909,146
19870914,147
19870916,149
19870917,150
19870920,151
19870921,153
19870922,154
19870924,155
19870925,158
19870926,159
19870930,161
19871001,163
19871002,164
19871005,165
19871006,167
19871007,168
19871008,169
19871010,170
19871012,171
19871013,172
19871014,174
19871015,175
19871016,177
19871017,179
19871020,183
19871021,185
19871022,187
19871023,190
19871025,191
19871026,192
19871028,195
19871029,196
19871030,197
19871102,199
19871104,200
19871105,201
19871107,202
19871109,203
19871110,204
19871111,205
19871112,214
19871113,215
19871114,217
19871115,218
19871116,219
19871117,221
19871118,223
19871120,224
19871122,225
19871125,229
19871128,230
19871130,232
19871207,237
19871208,240
19871209,245
19871211,248
19871212,249
19871214,255
19871215,260
19871216,263
19871217,264
19871221,265
19871222,267
19871224,268
19880104,270
19880108,272
19880109,273
19880114,274
19880115,275
19880117,276
19880125,277
19880126,279
19880129,282
19880202,283
19880203,284
19880204,285
19880205,286
19880208,287
19880210,288
19880211,290
19880215,291
19880217,295
19880222,296
19880227,297
19880229,298
19880301,299
19880307,300
19880308,301
19880309,302
19880315,303
19880317,308
19880320,309
19880322,312
19880323,313
19880325,314
19880329,315
19880331,316
19880404,317
19880406,318
19880408,320
19880409,321
19880413,322
19880418,324
19880419,325
19880421,326
19880425,327
19880426,329
19880428,330
19880503,331
19880504,332
19880506,333
19880511,335
19880513,336
