Date,Cum_Faults
19860116,1
19860415,2
19860623,4
19860624,7
19860625,11
19860626,12
19860630,15
19860701,16
19860702,17
19860707,18
19860710,21
19860711,27
19860713,28
19860714,31
19860715,36
19860716,41
19860717,50
19860718,51
19860721,55
19860722,59
19860723,63
19860724,67
19860725,68
19860726,72
19860728,74
19860729,78
19860730,79
19860731,80
19860801,81
19860812,84
19861106,85
19861107,86
19861110,89
19861112,90
19861117,92
19861118,94
19861119,96
19861120,99
19861121,100
19861124,121
19861125,127
19861126,129
19861201,133
19861202,136
19861203,139
19861204,145
19861205,146
19861207,149
19861208,153
19861209,161
19861210,162
19861212,164
19861215,171
19861216,173
19861217,175
19861218,180
19861222,186
19861227,188
19861229,189
19861230,190
19861231,195
19870107,196
19870108,199
19870109,206
19870112,210
19870113,212
19870114,215
19870115,225
19870116,226
19870117,229
19870119,231
19870120,235
19870121,236
19870122,237
19870123,242
19870127,246
19870128,248
19870129,249
19870130,253
19870202,256
19870204,261
19870206,262
19870210,263
19870225,264
19870227,265
19870303,266
19870310,268
19870320,269
19870323,271
19870327,272
19870328,273
19870330,274
19870401,275
19870414,276
19870415,277
19870417,278
19870418,280
19870421,286
19870424,287
19870425,293
19870427,294
19870428,295
19870430,297
19870505,299
19870508,300
19870511,302
19870512,303
19870513,304
19870514,306
19870519,310
19870520,311
19870521,313
19870527,314
19870529,319
19870530,320
19870602,322
19870603,323
19870605,327
19870606,328
19870609,330
19870610,332
19870611,334
19870615,335
19870616,336
19870617,341
19870618,343
19870619,344
19870622,346
19870624,349
19870625,354
19870629,361
19870630,362
19870701,364
19870702,374
19870703,376
19870706,380
19870707,382
19870708,384
19870709,394
19870710,402
19870713,415
19870714,418
19870715,419
19870716,422
19870717,424
19870720,425
19870721,427
19870722,428
19870724,429
19870727,430
19870812,432
19870813,433
19870815,434
19870825,435
19870904,436
19870910,438
19870917,441
19870918,446
19870921,447
19870922,455
19870923,456
19870923,460
19870928,462
19870929,466
19870930,470
19871001,471
19871005,473
19871006,476
19871007,479
19871009,481
19871016,482
19871019,486
19871026,488
19871027,489
19871028,490
19871029,494
19871031,495
19871103,497
19871109,503
19871111,511
19871113,516
19871117,520
19871122,521
19871125,523
19871130,527
19871201,531
19871207,532
19871208,533
19871210,534
19871215,535
19871216,537
19871217,541
19871219,542
19871221,543
19871222,544
19871230,545
19871231,546
19880104,550
19880105,551
19880106,552
19880107,553
19880108,554
19880109,555
19880110,556
19880112,558
19880113,560
19880114,561
19880115,564
19880116,567
19880117,568
19880119,570
19880122,575
19880125,577
19880126,578
19880127,579
19880128,581
19880129,582
19880130,585
19880201,588
19880202,589
19880203,591
19880204,592
19880205,593
19880208,596
19880211,598
19880212,600
19880216,602
19880217,607
19880218,610
19880219,613
19880222,614
19880223,620
19880224,625
19880225,628
19880226,629
19880301,631
19880302,633
19880303,636
19880308,643
19880309,646
19880311,649
19880312,650
19880314,672
19880315,674
19880316,676
19880317,677
19880318,678
19880321,683
19880322,687
19880323,689
19880324,692
19880325,696
19880328,698
19880329,700
19880330,701
19880331,702
19880402,703
19880404,705
19880405,710
19880407,716
19880408,722
19880410,723
19880411,731
19880412,733
19880413,740
19880414,744
19880415,747
19880418,752
19880419,755
19880420,757
19880422,759
19880423,764
19880424,765
19880425,772
19880426,782
19880427,796
19880428,799
19880429,801
19880430,802
19880502,808
19880503,816
19880504,821
19880505,827
19880506,829
19880507,831
19880508,833
19880509,837
19880510,850
19880511,860
19880512,863
19880513,864
19880514,865
19880516,871
19880517,875
19880518,879
19880520,886
19880521,888
19880523,889
19880524,896
19880525,903
19880526,908
19880527,909
19880530,913
19880531,918
19880601,923
19880602,925
19880607,926
19880608,933
19880609,937
19880610,943
19880611,948
19880613,951
19880614,953
19880615,956
19880616,958
19880617,962
19880618,964
19880620,966
19880621,968
19880622,971
19880623,976
19880624,984
19880627,986
19880628,990
19880629,991
19880630,996
19880701,998
19880705,1000
19880706,1003
19880707,1005
19880708,1013
19880710,1014
19880711,1016
19880712,1020
19880713,1022
19880715,1024
19880717,1025
19880718,1029
19880719,1030
19880720,1033
19880721,1034
19880722,1035
19880724,1039
19880725,1042
19880726,1044
19880727,1049
19880802,1050
19880804,1053
19880805,1057
19880809,1058
19880810,1061
19880815,1063
19880816,1064
19880817,1066
19880818,1070
19880825,1071
19880831,1075
19880901,1076
19880902,1078
19880905,1086
19880906,1088
19880907,1090
19880908,1091
19880912,1092
19880913,1093
19880914,1094
19880915,1095
19880916,1098
19880918,1099
19880919,1100
19880921,1101
19880922,1103
19880924,1104
19880927,1109
19880928,1111
19880929,1119
19880930,1123
19881003,1126
19881005,1127
19881006,1128
19881007,1130
19881011,1141
19881013,1145
19881014,1146
19881017,1147
19881018,1151
19881020,1154
19881021,1162
19881022,1163
19881023,1164
19881024,1168
19881025,1169
19881026,1173
19881027,1179
19881028,1182
19881029,1185
19881101,1186
19881102,1187
19881103,1190
19881104,1193
19881107,1196
19881108,1199
19881110,1200
19881114,1204
19881115,1210
19881116,1213
19881117,1218
19881118,1221

