Date,Cum_Faults
19870129,3
19870130,5
19870202,9
19870203,16
19870204,21
19870205,22
19870206,23
19870209,25
19870210,28
19870216,30
19870217,32
19870218,33
19870219,38
19870225,39
19870226,40
19870302,41
19870305,42
19870306,45
19870313,46
19870319,47
19870323,48
19870331,49
19870420,50
19870514,51
19870527,52
19870603,58
19870610,62
19870615,63
19870619,64
19870624,65
19870629,66
19870702,67
19870713,68
19870714,72
19870716,74
19870720,77
19870722,82
19870723,83
19870724,85
19870728,89
19870729,91
19870730,92
19870805,95
19870810,96
19870812,97
19870813,98
19870817,101
19870824,102
19870827,103
19870910,105
19870911,106
19870916,108
19870918,115
19870923,118
19870924,121
19870925,124
19870928,127
19870929,152
19870930,156
19871001,159
19871005,165
19871006,168
19871007,170
19871008,173
19871009,175
19871012,177
19871013,187
19871014,190
19871015,196
19871016,203
19871019,205
19871020,211
19871021,217
19871023,226
19871026,233
19871027,236
19871029,243
19871102,249
19871103,253
19871104,260
19871105,263
19871106,266
19871109,268
19871110,272
19871111,277
19871112,284
19871113,287
19871117,288
19871118,296
19871119,297
19871120,308
19871123,315
19871124,320
19871125,325
19871130,333
19871202,338
19871203,339
19871204,343
19871207,350
19871208,354
19871209,360
19871210,362
19871211,376
19871214,380
19871215,385
19871216,394
19871217,399
19871218,404
19871221,412
19871222,415
19871223,419
19871228,420
19871229,422
19871230,426
19880104,429
19880105,436
19880106,442
19880107,448
19880109,459
19880110,464
19880111,471
19880112,473
19880113,476
19880114,481
19880115,486
19880118,489
19880119,496
19880120,504
19880121,515
19880122,521
19880124,524
19880125,527
19880126,533
19880127,541
19880128,543
19880129,547
19880201,554
19880202,557
19880203,565
19880204,568
19880205,574
19880208,581
19880209,584
19880210,598
19880211,603
19880212,605
19880215,609
19880216,611
19880218,621
19880219,623
19880221,625
19880222,628
19880223,631
19880224,633
19880225,645
19880226,648
19880229,651
19880301,654
19880302,658
19880303,664
19880304,670
19880307,674
19880308,676
19880309,682
19880310,688
19880311,692
19880314,696
19880315,700
19880316,701
19880317,704
19880318,710
19880322,713
19880323,715
19880325,721
19880329,722
19880330,724
19880404,726
19880405,727
19880407,730
19880411,732
19880413,735
19880414,736
19880415,741
19880418,743
19880422,746
19880425,747
19880502,753
19880512,754
19880513,756
19880516,757
19880517,760
19880519,761
19880520,763
19880524,764
19880525,765
19880527,766
19880606,767
19880607,769
19880608,770
