Faults,Test_hours
1,0.825
2,1.65
3,2.475
4,3.3
5,3.628
6,3.955
7,4.282
8,4.61
9,4.938
10,5.265
11,5.592
12,5.92
13,6.248
14,6.575
15,6.902
16,7.23
17,7.558
18,7.885
19,8.212
20,8.54
21,8.638
22,8.736
23,8.834
24,8.932
25,9.03
26,9.128
27,9.226
28,9.324
29,9.422
30,9.52
31,13.045
32,13.52
33,13.84
34,14.16
35,14.48
36,16.39
37,17.34
38,17.66
39,17.98
40,18.3
41,18.637
42,18.973
43,19.31
44,20.32
45,22.912
46,23.165
47,23.418
48,23.67
49,24.175
50,24.68
51,25.185
52,25.69
53,26.195
54,26.7
55,28.21
56,28.48
57,29.75
58,29.02
59,29.29
60,29.56
61,30.904
62,36.45
63,36.897
64,37.343
65,37.79
66,38.128
67,38.465
68,38.202
69,39.14
70,43.32
71,43.76
72,44.2
73,44.64
74,46.18
75,46.4
76,46.62
77,46.84
78,47.06
79,47.28
80,48.45
81,50.43
82,51.09
83,52.41
84,54.9
85,55.392
86,55.705
87,56.108
88,56.51
89,56.832
90,57.154
91,57.476
92,57.798
93,58.12
94,61.34
95,62.245
96,63.15
97,67.175
98,67.98
99,69.59
100,71.4
101,72.02
102,72.64
103,73.88
104,75.12
105,77.75
106,79.92
107,84.56
108,85.32
109,85.624
110,85.928
111,86.232
112,86.536
113,86.84
114,87.885
115,88.74
116,90.26
117,90.513
118,90.767
119,91.02
120,98.05
121,100.267
122,100.773
123,101.28
124,103.18
125,103.56
126,105.08
127,108.3
128,108.772
129,109.245
130,109.718
131,110.19
132,110.443
133,110.697
134,110.95
135,112.94
136,121.52
137,122.28
138,128.21
139,129.92
140,132.098
141,132.267
142,132.435
143,132.603
144,132.772
145,132.94
146,134.07
147,134.355
143,134.64
149,134.925
150,135.21
151,135.495
152,135.78
153,136.635
154,137.49
155,139
156,139.837
157,140.173
158,140.51
159,142.96
160,144.28
161,146.61
162,147.56
163,147.875
164,148.19
165,157.94
166,158.93
167,159.92
168,164.33
169,168.895
170,170.38
171,171.145
172,171.91
173,179.14
174,181.335
175,181.52
176,181.89
177,181.89
178,185.085
179,185.64
180,186.385
181,186.76
182,137.59
183,190
184,190.33
185,190.99
186,192.655
187,193.45
188,195.97
189,196.191
190,196.433
191,196.777
192,197.07
193,198.23
194,201.31
195,201.89
196,202.47
197,203.53
198,203.95
199,204.055
200,204.16
201,204.965
202,205.34
203,207.62
204,208.13
205,208.43
206,209.6
207,210.53
208,210.95
209,211.31
210,212.86
211,215.06
212,215.905
213,216.07
