Faults,Test_hours
1,0.267
2,0.533
3,0.8
4,1.067
5,1.333
6,1.6
7,3.588
8,3.975
9,4.362
10,4.75
11,5.267
12,5.783
13,6.3
14,7.075
15,7.85
16,8.071
17,8.293
18,8.514
19,8.736
20,8.957
21,9.179
22,9.4
23,12.96
24,14.74
25,15.333
26,15.927
27,16.52
28,16.682
29,16.844
30,17.006
31,17.167
32,17.329
33,17.491
34,17.653
35,17.814
36,17.976
37,18.138
38,18.3
39,29.77
40,30.48
41,30.683
42,30.886
43,31.089
44,31.291
45,31.494
46,31.697
47,31.9
48,32.533
49,33.167
50,33.8
51,34.433
52,35.067
53,35.7
54,35.882
55,36.064
56,36.247
57,36.429
58,36.611
59,36.793
60,36.971
61,37.158
62,37.34
63,38.16
64,38.98
65,39.8
66,40.62
67,42.624
68,42.589
69,43.353
70,43.718
71,44.082
72,44.447
73,44.811
74,45.176
75,45.54
76,46.267
77,46.993
78,47.72
79,48.447
80,49.173
81,49.9
82,50.242
83,50.583
84,50.925
85,51.267
86,51.608
87,51.95
88,52.72
89,57.8
90,66.62
91,70.16
92,75.89
93,76.328
94,76.766
95,77.204
96,77.642
97,78.08
98,79.028
99,79.976
100,80.924
101,81.872
102,82.82
103,83.369
104,83.918
105,84.467
106,85.016
107,85.566
108,86.114
109,86.664
110,87.213
111,87.762
112,88.314
113,88.86
114,89.249
115,89.638
116,90.027
117,90.416
118,90.806
119,91.194
120,91.584
121,91.973
122,92.362
123,92.751
124,93.14
125,96.004
126,96.358
127,96.712
128,97.066
129,97.42
130,99.107
131,100.793
132,102.48
133,108.25
134,111.13
135,114.01
136,115.97
137,121.036
138,125.26
139,125.69
140,126.12
141,126.55
142,127.99
143,129.43
144,130.87
145,132.31
146,135.093
147,136.407
148,137.72
149,138.104
150,138.487
151,138.871
152,139.254
153,139.638
154,140.022
155,140.668
156,140.789
157,141.173
158,141.556
159,141.94
160,142.161
161,142.383
162,142.604
163,142.826
164,143.047
165,143.269
166,143.49
167,144.897
168,146.303
169,147.71
170,152.36
171,154.68
172,156.54
173,157.315
174,158.09
175,158.795
176,159.5
177,160.205
178,160.91
179,161.615
180,162.32
